job_id,job_title,department,location,country,seniority,employment_type,work_model,opening_date,target_hires,job_status,close_date,recruiter_id,salary_min_eur,salary_max_eur,difficulty_score
JOB0001,Accountant,Finance,Frankfurt,Germany,Senior,Permanent,On-site,2024-08-05,2,Filled,2024-10-24,REC008,83000,92000,3.2
JOB0002,Account Executive,Sales,Cologne,Germany,Junior,Permanent,On-site,2025-04-16,2,Filled,2025-06-20,REC012,47000,59000,1.5
JOB0003,Content Specialist,Marketing,Berlin,Germany,Professional,Permanent,On-site,2025-08-17,1,Filled,2025-09-15,REC008,62000,74000,2.7
JOB0004,Supply Chain Analyst,Operations,Frankfurt,Germany,Junior,Permanent,Hybrid,2024-12-14,1,Closed without hire,2025-01-29,REC006,48000,66000,1.4
JOB0005,Software Developer,IT,Frankfurt,Germany,Lead,Permanent,On-site,2024-12-12,4,Partially filled,2025-04-14,REC001,106000,121000,5.0
JOB0006,Cloud Engineer,IT,Berlin,Germany,Senior,Permanent,Remote,2024-02-27,2,Partially filled,2024-05-22,REC001,86000,101000,5.0
JOB0007,Data Analyst,IT,Hamburg,Germany,Senior,Permanent,On-site,2025-03-26,1,Filled,2025-08-25,REC008,90000,99000,5.0
JOB0008,Financial Analyst,Finance,Frankfurt,Germany,Junior,Permanent,Remote,2025-07-22,1,Filled,2025-09-23,REC004,52000,61000,2.3
JOB0009,Team Lead Operations,Operations,Frankfurt,Germany,Junior,Permanent,Hybrid,2025-10-17,2,Closed without hire,2025-12-10,REC008,48000,57000,2.4
JOB0010,Recruiter,HR,Hamburg,Germany,Senior,Permanent,Remote,2024-03-26,1,Filled,2024-05-30,REC008,78000,90000,3.3
JOB0011,IT Support Specialist,IT,Berlin,Germany,Professional,Permanent,Hybrid,2025-02-14,2,Filled,2025-05-10,REC001,68000,77000,4.3
JOB0012,Payroll Specialist,HR,Frankfurt,Germany,Junior,Permanent,Hybrid,2025-08-12,1,Filled,2025-09-09,REC009,45000,63000,1.7
JOB0013,Financial Analyst,Finance,Hamburg,Germany,Senior,Permanent,Hybrid,2025-04-25,2,Filled,2025-07-27,REC012,80000,95000,4.4
JOB0014,Quality Engineer,Engineering,Berlin,Germany,Senior,Permanent,Hybrid,2025-09-04,3,Filled,2025-11-09,REC008,81000,99000,3.9
JOB0015,Data Analyst,IT,Munich,Germany,Professional,Permanent,On-site,2024-09-22,1,Cancelled,2024-12-23,REC008,75000,84000,4.5
JOB0016,Process Engineer,Engineering,Frankfurt,Germany,Professional,Permanent,Hybrid,2024-08-26,2,Filled,2024-11-07,REC012,77000,89000,4.3
JOB0017,Mechanical Engineer,Engineering,Frankfurt,Germany,Lead,Permanent,Hybrid,2025-03-02,2,Partially filled,2025-05-23,REC006,103000,115000,5.0
JOB0018,Account Executive,Sales,Frankfurt,Germany,Professional,Permanent,Hybrid,2024-06-06,2,Filled,2024-07-21,REC003,65000,80000,2.5
